p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy
0.8,1.0,10,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5
0.8,1.0,11,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,0.0
0.8,1.0,12,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.5
0.8,1.0,13,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,0.0
0.8,1.0,14,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.7142857142857143,0.3333333333333333,0.0
0.8,1.0,15,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.5
0.8,1.0,16,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5
0.8,1.0,17,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.8,1.0,18,1.0,1.0,1.0,1.0,1.0,0.625,0.6666666666666666,0.5
0.8,1.0,19,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.0
0.8,1.0,20,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,0.0
0.8,0.8,6,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0
0.8,0.8,7,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.8,0.8,8,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0
0.8,0.8,9,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0
0.8,0.8,10,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.7142857142857143,0.3333333333333333,0.0
0.8,0.8,11,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0
0.8,0.8,12,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.3333333333333333,0.0
0.8,0.8,13,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0
0.8,0.8,14,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.7142857142857143,0.3333333333333333,0.0
0.8,0.8,15,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.8,0.8,16,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0
0.8,0.8,17,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.0
0.8,0.8,18,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,0.0
0.8,0.8,19,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0
0.8,0.8,20,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.8,0.5,6,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.8,0.5,7,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2631578947368421,0.0,0.0
0.8,0.5,8,1.0,1.0,1.0,1.0,0.6,0.14285714285714285,0.0,0.0
0.8,0.5,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.8,0.5,10,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0
0.8,0.5,11,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.3333333333333333,0.0
0.8,0.5,12,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0
0.8,0.5,13,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0
0.8,0.5,14,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0
0.8,0.5,15,1.0,1.0,1.0,1.0,0.6,0.14285714285714285,0.0,0.0
0.8,0.5,16,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.8,0.5,17,1.0,1.0,1.0,1.0,0.8,0.2222222222222222,0.0,0.0
0.8,0.5,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.8,0.5,19,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.0,0.0
0.8,0.5,20,1.0,1.0,1.0,1.0,0.8,0.25,0.0,0.0
0.5,1.0,6,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0
0.5,1.0,7,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.0
0.5,1.0,8,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.5,1.0,9,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.5,1.0,10,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.45454545454545453,0.0,0.0
0.5,1.0,11,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.5,1.0,12,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0
0.5,1.0,13,1.0,1.0,1.0,1.0,1.0,0.45454545454545453,0.3333333333333333,0.0
0.5,1.0,14,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0
0.5,1.0,15,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.5,1.0,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.625,0.3333333333333333,0.0
0.5,1.0,17,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.5,1.0,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.5,1.0,19,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0
0.5,1.0,20,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.0
0.5,0.8,6,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.0
0.5,0.8,7,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
0.5,0.8,8,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.5555555555555556,0.0,0.0
0.5,0.8,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.5,0.8,10,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0
0.5,0.8,11,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.0
0.5,0.8,12,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0
0.5,0.8,13,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.0,0.0
0.5,0.8,14,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.45454545454545453,0.0,0.0
0.5,0.8,15,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.5,0.8,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.35714285714285715,0.0,0.0
0.5,0.8,17,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.0,0.0
0.5,0.8,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.5,0.8,19,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.5,0.8,20,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0
0.5,0.5,6,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.18181818181818182,0.0,0.0
0.5,0.5,7,1.0,1.0,1.0,1.0,1.0,0.29411764705882354,0.0,0.0
0.5,0.5,8,1.0,1.0,1.0,1.0,0.8,0.19047619047619047,0.0,0.0
0.5,0.5,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0
0.5,0.5,10,0.8,0.8,0.6666666666666666,0.5,0.6,0.14285714285714285,0.0,0.0
0.5,0.5,11,1.0,1.0,1.0,1.0,0.8,0.2,0.0,0.0
0.5,0.5,12,0.8,0.8,0.6666666666666666,0.5,1.0,0.23809523809523808,0.0,0.0
0.5,0.5,13,1.0,1.0,1.0,1.0,0.8,0.26666666666666666,0.0,0.0
0.5,0.5,14,1.0,1.0,1.0,1.0,0.6,0.15789473684210525,0.0,0.0
0.5,0.5,15,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.2222222222222222,0.0,0.0
0.5,0.5,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2631578947368421,0.0,0.0
0.5,0.5,17,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0
0.5,0.5,18,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.0,0.0
0.5,0.5,19,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0
0.5,0.5,20,1.0,1.0,1.0,1.0,0.8,0.2222222222222222,0.0,0.0
